;TRADEDATE;SECID;OPEN;LOW;HIGH;CLOSE;VOLRUR;is_actual;last_CLOSE;short;long;diff;Stance;OBV;STHST_k;STHST_d;BBU;BBM;BBL;diff_st;Stance_st;Recommendation
0;2019-07-02;EURUSD000TOM;1.12924;1.12839;1.1315;1.1286200000000002;3335392870.96;Couple days lag;;1.1286200000000002;1.1286200000000002;0.0;0;3335392870.96;;;;;;;0;Ожидать (Hold)
1;2019-07-03;EURUSD000TOM;1.12802;1.12676;1.131;1.1277700000000002;8490427697.88;Couple days lag;;1.1281950000000003;1.1284500000000002;-0.0002549999999998942;0;-5155034826.92;;;;;;;0;Ожидать (Hold)
2;2019-07-04;EURUSD000TOM;1.12829;1.1271799999999998;1.12925;1.12925;2106010915.79;Couple days lag;;1.1287225000000003;1.1286100000000003;0.00011249999999995985;0;-3049023911.13;;;;;;;0;Ожидать (Hold)
3;2019-07-05;EURUSD000TOM;1.12748;1.1207200000000002;1.12748;1.1227;3695501017.3;Couple days lag;;1.1257112500000002;1.1274280000000003;-0.0017167500000001557;0;-6744524928.43;;;;;;;0;Ожидать (Hold)
4;2019-07-08;EURUSD000TOM;1.12171;1.1207;1.1233;1.121;1896104697.67;Couple days lag;;1.123355625;1.1261424000000002;-0.00278677500000013;0;-8640629626.1;;;;;;;0;Ожидать (Hold)
5;2019-07-09;EURUSD000TOM;1.12109;1.1195;1.1211799999999998;1.12058;4503658069.01;Couple days lag;;1.1219678124999999;1.1250299200000002;-0.003062107500000355;0;-13144287695.11;;;;;;;0;Ожидать (Hold)
6;2019-07-10;EURUSD000TOM;1.1208;1.1208;1.1262;1.12516;3114402199.85;Couple days lag;;1.1235639062499998;1.1250559360000003;-0.001492029750000512;0;-10029885495.26;;;;;;;0;Ожидать (Hold)
7;2019-07-11;EURUSD000TOM;1.1268200000000002;1.1244;1.12815;1.12516;4519775690.85;Couple days lag;;1.1243619531249998;1.1250767488000002;-0.0007147956750004347;0;-10029885495.26;;;;;;;0;Ожидать (Hold)
8;2019-07-12;EURUSD000TOM;1.12724;1.124;1.1273799999999998;1.1267399999999999;3850633958.46;Couple days lag;;1.1255509765624998;1.12540939904;0.00014157752249976951;0;-6179251536.8;;;;;;;0;Ожидать (Hold)
9;2019-07-15;EURUSD000TOM;1.12748;1.1255600000000001;1.12832;1.1255600000000001;1311345051.89;Couple days lag;;1.12555548828125;1.1254395192320001;0.00011596904924981999;0;-7490596588.690001;;;;;;;0;Ожидать (Hold)
10;2019-07-16;EURUSD000TOM;1.1255;1.12028;1.1255600000000001;1.12076;3818285238.62;Couple days lag;;1.123157744140625;1.1245036153856;-0.0013458712449749832;0;-11308881827.310001;;;;;;;0;Ожидать (Hold)
11;2019-07-17;EURUSD000TOM;1.12094;1.1205100000000001;1.1231;1.12228;3851843237.4;Couple days lag;;1.1227188720703125;1.1240588923084802;-0.001340020238167705;0;-7457038589.910002;;;;;;;0;Ожидать (Hold)
12;2019-07-18;EURUSD000TOM;1.12366;1.1203;1.1276;1.1273799999999998;3939783757.83;Couple days lag;;1.1250494360351562;1.1247231138467841;0.0003263221883720302;0;-3517254832.080002;;;;;;;0;Ожидать (Hold)
13;2019-07-19;EURUSD000TOM;1.1259;1.1205;1.1264399999999999;1.12144;2471374205.33;Couple days lag;;1.123244718017578;1.1240664910774274;-0.0008217730598494288;0;-5988629037.410002;;;;;;;0;Ожидать (Hold)
14;2019-07-22;EURUSD000TOM;1.12225;1.1206;1.12232;1.1208;2039611396.7;Couple days lag;;1.122022359008789;1.123413192861942;-0.001390833853152973;0;-8028240434.110002;;;;;;;0;Ожидать (Hold)
15;2019-07-23;EURUSD000TOM;1.1185;1.11458;1.11934;1.11535;3407649590.82;Couple days lag;;1.1186861795043945;1.1218005542895537;-0.0031143747851591908;0;-11435890024.930002;;;;;;;0;Ожидать (Hold)
16;2019-07-24;EURUSD000TOM;1.11514;1.113;1.11768;1.1136;5105350239.3;Couple days lag;;1.1161430897521973;1.120160443431643;-0.004017353679445668;-1;-16541240264.230003;4.5826280877301775;8.864904263933585;;;;-4.282276176203408;-1;Продавать (Short)
17;2019-07-25;EURUSD000TOM;1.1131799999999998;1.10984;1.1184;1.11395;7690923678.06;Couple days lag;;1.1150465448760987;1.1189183547453145;-0.0038718098692158698;-1;-8850316586.170002;13.07835441321072;8.645853319544713;;;;4.432501093666007;1;Покупать (Long)
18;2019-07-26;EURUSD000TOM;1.1143100000000001;1.1112;1.1143399999999999;1.1129;3707367902.08;Couple days lag;;1.1139732724380493;1.1177146837962517;-0.0037414113582023845;-1;-12557684488.250002;19.39935064935092;12.353444383430606;;;;7.0459062659203155;1;Покупать (Long)
19;2019-07-29;EURUSD000TOM;1.1124399999999999;1.1114;1.11485;1.11446;1668562792.14;Couple days lag;;1.1142166362190247;1.1170637470370015;-0.002847110817976839;0;-10889121696.110003;20.779220779221077;17.75230861392757;1.1321540271168797;1.121773;1.11139197288312;3.0269121652935063;1;Покупать (Long)
20;2019-07-30;EURUSD000TOM;1.11333;1.1132;1.1157700000000002;1.11534;3897979482.81;Couple days lag;;1.1147783181095123;1.1167189976296013;-0.001940679520088917;0;-6991142213.300003;27.380952380952657;22.51984126984155;1.1313511948820898;1.121109;1.11086680511791;4.861111111111107;1;Покупать (Long)
